,Name,User Name,Following,Followers,Tweet,Favorite,RT,created at
45,Joe • Mitoshi 🧑‍🚀,@CryptoSays,796,84579,"This is another one messing things up for crypto, however I believe it is walking around on borrowed time. 1M WP Pivot coming in August (Also key 2W and 1W pivots in August for $BTC). That's why I said a couple months ago ""See you in August"". Patience my friends. $DXY https://t.co/i58iZXrGTW https://t.co/faqQItcrde",89,10,2021-07-20 23:32:57
46,K A L E O,@CryptoKaleo,577,337297,"#Bitcoin / $BTCMaybe I'm crazy, but I still believe. https://t.co/Hi5MokEygY",5152,703,2021-07-20 23:32:52
47,WW Fund 📈 🧙‍♂️,@WW_Fund,2762,474,"Trade $SOL, $ETH, #BTC &amp; $Doge on FTX USRegister here: https://t.co/J0I90izm2l",2,1,2021-07-20 23:32:19
48,MartyParty,@martypartymusic,18958,22485,If $BTC gets back to 32k will it drop again?,6,1,2021-07-20 23:30:51
49,YouthAdvisoryCouncil,@SBHAYAC,334,415,"6 DAYS UNTIL BTC!!! This is Andre, a second year council member! He’s looking forward to not only meeting everyone but also to what everyone will discover about SBHC’s together at BTC! #sbh4all #sbhayac https://t.co/xHNoHIKHAG",3,2,2021-07-20 23:30:50
50,Forrest Przybysz,@crypto_stackers,961,1795,CryptoStackers #48 | Trailblazers@mcuban If you'd like to claim this #NFT just DM me an appropriate ETH address within 48 hours and I'll send it to you. #Crypto #BTC #Ethereum https://t.co/Rlm8qfT75a,34,20,2021-07-20 23:29:58
51,Shibtard0 the Saitard,@RUShibbinMe,1129,820,Said the $btc maxi  😎 #Shibarmy #shibaswap $Shib #resistanceisfutile https://t.co/mmWTWTMV6n,4,1,2021-07-20 23:29:20
52,NFT information Alert,@NFT_info_alert,20,536,【49.75% Cheaper than Average】📉📉Title: Happy Hermit CrabOpensea:BidPrice:ETH 3.67dayVol:608.9713#NFT #CRYPTOART #opensea #hashmasks  $BTC #veefriends08:29 https://t.co/jiPpe8scPn,1,1,2021-07-20 23:29:16
53,CRYPTOWZRD,@cryptoWZRD_,102,66935,"BTC Daily Technical Outlook:$BTC is teasing the $30,000 area. The next major support target is $27,000. A slingshot to $27,000 and then a reversal is possible. My primary attention will be on the intraday chart and I’ll be looking for a scalp from the intraday volatility 🤔 https://t.co/EpMZkDdj9A",75,18,2021-07-20 23:28:21
54,pleb_Greg Foss 🇨🇦 / 🇸🇻🌋,@FossGregfoss,1056,26015,#Math is the base layer of language.Yellen and clan likely didn't fail #math but they are trying to use second layer logic to distort first layer truths.They are scared and it is telling.  Cuz truth always wins.#btc = truthPS.  Trudeau failed #math and truth escapes JT.,191,14,2021-07-20 23:27:40
55,Forrest Przybysz,@crypto_stackers,961,1795,CryptoStackers #47 | Trailblazers@michael_saylor If you'd like to claim this #NFT just DM me an appropriate ETH address within 48 hours and I'll send it to you. #Crypto #BTC #ETHhttps://t.co/vMUM6qSvBC,35,26,2021-07-20 23:27:23
56,WW Fund 📈 🧙‍♂️,@WW_Fund,2762,474,"Trade $SOL, $ETH, #BTC &amp; $Doge on FTX USRegister here: https://t.co/J0I90izm2l",1,1,2021-07-20 23:27:09
57,M,@Cryptokingmerc,150,20,@brandank_cr $GOGE will be unbeatable!!! @DogeGaySon this is gonna be one of the best launches on bsc in a minute#SAFEMOON #FLOKI #MillionToken #Pancakeswapv2 #SHIBARMY #dogecoin #dogearmy #BTC #Ethereum #BNB #BSCGems,3,1,2021-07-20 23:26:48
58,Mr Mule,@mr96dump_proof,158,128,@CryptoWizardd @elonmusk It’s over !!! $FLOKI @RealFlokiInu #FLOKITAKEOVER #BTC,10,4,2021-07-20 23:26:18
59,SatoshiX,@SatoshiX_,5,5,"🔥🔥🔥🔥QUICK FAQ!! 🔥Project started on 20th July.🔥Total supply of $SatoshiX 1 000 000 000, 40% burned already.🔥Max wallet is 30 000 000 $STX🔥Max sell is 3 000 000 $STX🔥To earn BTC, you need to hold minimum of 10 000 $SatoshiX.",2,1,2021-07-20 23:25:47
60,🅰🅻🅴🆂🆂🅸🅾,@AlessioUrban,616,18066,Malaysia bans the crypto miners because the crypto frauds are not tolerated Bullish buy BTC,16,0,2021-07-20 23:24:43
61,VicWickz,@BigWickVic,152,113,Oh shit I guess theres a rainbow maybe we will get a pot of gold after all! $btc $eth $ada $xrp $bnb $doge https://t.co/rU7q8aO6H4,1,2,2021-07-20 23:23:27
62,iHodl 🟩⚡️⚡️,@iTweet14670008,667,349,"@THEAMERICANHODL If we assume a trend change from a disinflationary 2010’s to a long term inflationary 2020’s, as well as the mainstream part of S curve adoption, 200%+ is not out of question.Inflation adjusted, 200% would be BTC $100T by 2030 (250m+ by then)",4,2,2021-07-20 23:23:25
63,Ξlerik,@0xSlot,488,114,"@ethultrasound @blockfolio @SBF_Alameda For stable def @anchor_protocol at 19-20% compounded. For eth, 6.5% is similar to $stETH but for $btc 6.5% is higher than everywhere",3,2,2021-07-20 23:23:15
64,Dijames23⚡⭕,@dijames23,293,247,"$DOGE weekly chart : currently sitting on the .786 FIB, and we still haven't touched the trend line.#dogecoin #dogearmy #shiba #BabyDoge #ElonMusk #SpaceX #btc #eth #Fibonacci https://t.co/lRFKOewDwH",1,3,2021-07-20 23:22:44
65,B o J a X,@BeauxJacques1,2019,1014,Travelling to #Oaxland from #sanfrancisco in #uplandme #BlockchainGaming #BTC @UplandMe @xbrucethegoose  @MarsUtah @LeftHouseCrypto @DrYunani To Mint a new #NFTrealestateAnd get #spark!I need YOUR #spark staking at #WorldGuildOaklandHQ #400HighStOakland_Upland https://t.co/ZGE49wJDAL,2,1,2021-07-20 23:22:00
66,NFT information Alert,@NFT_info_alert,20,536,【50.36% Cheaper than Average】📉📉Title: Sweet SwanOpensea:BidPrice:ETH 3.557dayVol:608.9713#NFT #CRYPTOART #opensea #hashmasks  $BTC #veefriends08:21 https://t.co/bB64RmlTkB,2,1,2021-07-20 23:21:11
67,J_C_T_007,@JCT0072,23,10,"Checkout #NUTSGAMING our telegram is almost at 6000 members! Come join us, we're the next big thing 🔥Poker &amp; Crypto😎#crypto #gaming #poker #BTC  https://t.co/A6g94mMF2l@NUTSGamingBSC",18,12,2021-07-20 23:20:57
68,Matt Hamilton,@HammerToe,876,27411,"@0urobro @DickWhitman_BTC But it doesn't, does it? That is literally the entire point of decentralised blockchains like the XRP Ledger. The nodes are spread about, they are not all run on a single provider. And unlike Bitcoin not all centralised around cheap power sources.",1,1,2021-07-20 23:20:33
69,Hamed Khaldi,@HamedKhaldi_,149,853,We need another big red week before we start pumping $sxp #altcoin #cryptocurrencies #crypto #cryptocurrency #Bitcoin     $dent $btt $doge $eos $eth $link $matic $CRV $coti #BTC $BTC,6,0,2021-07-20 23:19:52
70,Truth_project,@Truthproject4,330,245,The fud makes no sensehttps://t.co/nbgbogYIli#Canada #USA #BTC #Bitcoin #BitcoinCrash #cryptocrash #cryptocurrency #CryptoNews #cryptotwitter @danheld @shakepay @APompliano @cameron @BTC_Archive @DocumentingBTC @BitcoinMagazine @RussellOkung @AltcoinDailyio,3,3,2021-07-20 23:19:39
71,Penguin Capital,@PenguinOffisial,565,807,$BTC $27300-$27800 is the area that i'm expecting to be the absolute bottom for this spring to $100k. https://t.co/wJP4pkvXVL,8,1,2021-07-20 23:19:38
72,☀️☝️Son of the Earth👇☀️,@avatarofjoshua,348,172,The year is 3050. The first dyson sphere is being constructed to power the $btc blockchain. All applications globally run on ftx brand $eth.$doge is .007c,1,1,2021-07-20 23:19:28
73,Matt Hamilton,@HammerToe,876,27411,"@DickWhitman_BTC @0urobro Sure. The refusal of Bitcoiners to acknowledge that technology moves on, that monetary systems move on, is what will end them eventually.",1,1,2021-07-20 23:19:02
74,BTC Sessions 😎,@BTCsessions,2677,44207,@deyonte_btc @FossGregfoss @JeffBooth just sitting here like... https://t.co/HrN9SLEmjQ,51,2,2021-07-20 23:18:52
75,HoldNeverSold,@SoldNever,293,262,@KountryboyKenny @ProTheDoge Dogecoin doesn't need a cap that was the problem with bitcoin people thought their coin would be so valuable they didn't want to spend it. When I bought $Doge with all of my bitcoin you should've seen the rocketship I created who cares the price of btc crashed in half? I don't,3,1,2021-07-20 23:18:44
76,pleb_Greg Foss 🇨🇦 / 🇸🇻🌋,@FossGregfoss,1056,26015,Hey A (larry) Fink.  How about them apples?71% of institutional investors plan to buy Crypto assets.  Perhaps your clients are the donkeys eh?  #btc solves donkey thinking.https://t.co/Gvcus5udYL,138,6,2021-07-20 23:17:22
77,BTCMANAGER,@btc_manager,1751,65130,#Kusama Adds Bifrost as the Latest Parachain after Winning Auction BY: Dalmas Ngetichhttps://t.co/xekBZepaZ9 #Bitfrost #ParachainAuction #Polkadot https://t.co/bdO6nBBA69,7,5,2021-07-20 23:17:20
78,Bitcoinmaster1983,@Bitcoin22109717,121,36,#poodl will arrive to the moon faster than @elonmusk  and his space x.This year i would bet it goes x100We are #poodl We are money$$$#poodlparty #poodltoken https://t.co/auepx1zpOK#hodlthepoodl #bnb #btc #bsc #mommydogecoin #rotomoon https://t.co/dPhr2aNtxT,2,4,2021-07-20 23:17:15
79,Mandala Exchange,@MandalaEx,93,16594,"Our Q3 Progress Report is up! Please check out our updated roadmap on our homepage and read through our latest blog post outlining a few improvements, milestones and goals for the upcoming weeks &amp; months! 🚀 https://t.co/XnJrzN2L9Y#MandalaExchange #CryptoExchange #BTC $MDXT",49,20,2021-07-20 23:15:55
80,Sean. ShibEscapes ✈ 🌏,@smorgsinnit,612,2770,Who else is Shopped out ?🛒🛒🛒🛒🛒🛒🛒 January Sales have come early For us but im looking for more 🧐.Tag away and Let me know what your buying up ? 🤗$ETH$SHIB$BONE$LEASH$BTC$matic$hydra#Bitcoin #shibaswap #cryptocrash #Ethereum #shiba #shibcoin #Blockchain #matic https://t.co/Rz56XANNeU,4,3,2021-07-20 23:15:35
81,Forecast City - Be a Better Trader with us,@ForecastCity,7,5349,New intraday forecasts for #EURUSD #GBPUSD #AUDUSD #NZDUSD #USDCHF(Free) #USDCAD #USDJPY #EURJPY #GBPJPY are published!#ForecastCity #PriceAction #Forex #FX #CryptoCurrency #BTC #ETH #Trading https://t.co/hFSOKwB36f,9,3,2021-07-20 23:15:05
82,Corneliu,@realcorneliu,24,32,Only 3 days remaining remaining people to get your last bag of #TipsyLabs before they get listed @PancakeSwap I'm really excited for the moment! #BTC #Ethereum #BSC #BSCGem #altcoin #cryptocurrency #Crypto #WednesdayMotivation #wednesdaythought #wednesdaythought Like and follow https://t.co/or0rBDrbC1,3,1,2021-07-20 23:15:00
83,Live Coin Watch • Live Crypto Analytics,@LiveCoinWatch,1345,24815,"Crypto market overview — July 20 2021 📊▶️ Market cap dips to $1.19T level▶️ 3 stablecoins in crypto top 10 = 8.2% of total market cap▶️ BTC below $30K, trading at $29K level▶️ Bids $2.03B, Asks $1.75B▶️ Volume above $40B but still low▶️ Top 500 gainers: $FET, $REVV, $POLY https://t.co/CfX3JWLV9z",3,2,2021-07-20 23:14:01
84,Crypto Baggins,@mazewill1,68,36,@CryptoWizardd @elonmusk Floki Vikings do not care about BTC or anything else. Bridging from ethereum and launching on BSC tomorrow. Huge global marketing plan. Team is constantly developing utility. Onward to Valhalla! $FLOKI #Floki #FlokiVikings @RealFlokiInu  #flokiinu,18,5,2021-07-20 23:14:00
85,NFT information Alert,@NFT_info_alert,20,536,【89.59% Cheaper than Average】📉📉Title: Lonely Alien #6462Opensea:BidPrice:ETH 0.0127dayVol:118.2931#NFT #CRYPTOART #opensea #hashmasks  $BTC #lonelyalienspaceclub08:13 https://t.co/KyfIRiu73l,1,1,2021-07-20 23:13:05
86,Matt Hamilton,@HammerToe,876,27411,"@DickWhitman_BTC @0urobro Sure. Just like open source developers are building on the XRP Ledger. Good luck with taproot. Some people call the XRP Ledger ""boring"" as it doesn't have to try and fix all the shit Bitcoin has to fix just to be usable.",1,1,2021-07-20 23:12:09
87,CA$HLESS 🔥,@_Is_Inevitable,361,603,*** WILL CRYPTO RECOVER? *** Or is it over? YOU NEED TO SEE THIS!!!! https://t.co/0nSJvUBhpS via @YouTube $BTC $XRP $ETH #bitcoin #Ethereum #cryptocrash #Crypto #blockchain #AMCSqueeze #investing #trading,1,1,2021-07-20 23:11:56
88,Miles Taylor,@MilesTaylor47,386,1547,"$GME Crypto is on the verge of going $100k btc, it's bottoming.#NFT's will be Huge GameStop Stock: Why NFT Could Be Big For The Company https://t.co/QrwSDTLmy8",25,4,2021-07-20 23:10:37
89,News Sentiment Report,@NewsSentiment,109,107,"Today's snapshot of News Media topics that are competing with #BTC, #Bitcoin and Crypto.Analyzed 1194 articles.Overall media sentiment is Negative.https://t.co/69jJzfu7KY",2,3,2021-07-20 23:10:19
90,Blue Collar Bitcoin Podcast,@blue_collarbtc,191,143,A large class starts every new #Bitcoin Bull Market.  The attrition rate is high. Very few graduate. 🎓#Hodl and earn your degree in PLEBonomics.#Bitcoin #BTC #plebonomics@michael_saylor @FossGregfoss,10,1,2021-07-20 23:10:13
91,Jessica Vaugn,@JessicaVaugn,3718,301264,"While I agree with the invasive nature of customs, you’re gonna make sashaying into his office awkward for us @GhostofSvetski 🤣 See y’all tomorrow!! Tell Paloma I’m bringing my camera gear, so, shoot time ahead! 🇸🇻 #btc https://t.co/ayaRDQUGoe",23,1,2021-07-20 23:10:08
92,Cryptorian,@cryptorian__,42,66,"@CryptoWizardd told him that we can buy it cheaper when he says ""buy sxp"" now sxp at its support but $sxp looks bad honestly. #sxp #swipe #crypto #trading #altcoin $btc #btc #bitcoin #altcoin  #cryptocurrency  #currency #trading  #blockchain https://t.co/jUieWloo1h https://t.co/ucvRIEIHMk",1,1,2021-07-20 23:10:02
93,Fluffy_Pillows,@Fluffy_pillows1,54,541,$nsav can be the  next $tsnp $hmbl stock that goes to 1.00+ 🚀🚀🚀🚀🎉🎉🎉😎😎$drng $incc $bzwr $enzc $mjwl $btc #Bitcoin https://t.co/ogUJXOw9iI,20,2,2021-07-20 23:09:28
94,𝕃𝕠𝕣𝕕 𝕃𝕒𝕟𝕕𝕧𝕚𝕜𝕧👾,@Landvikv,8,47,Have you figured out that #BTC is not irreplaceable? Better start looking to the future with #Altcoins like #Avax. https://t.co/r36DgRmVyy,13,1,2021-07-20 23:08:48
95,Matt Hamilton,@HammerToe,876,27411,@DickWhitman_BTC @0urobro Bitcoin:- slow - expensive- unsustainableXRP was literally developed by Bitcoin developers to address these shortcomings in Bitcoin.,3,1,2021-07-20 23:07:19
96,tamer,@Marrakesh81,1196,359,"@cz_binance Coming soon binance @FreeDogeToken1 #FreeDoge #FreeDogetoken @FreeDogeToken1Which one do you think 50x 100x 1000x 🚀🚀🚀0xfac1f65c835f0e2af6b77b671bbfbbf9edbd8aaeYou are amazing, elon mask is talking about us#BTC       #BabyDoge  #Binance      #BSCGem #bscscan  #shıb",3,3,2021-07-20 23:07:13
97,VIX Squared,@vixsquared,325,14132,$BTC bitcoin https://t.co/PBfUKg1bNI,7,4,2021-07-20 23:05:46
